Short citation,Review,Summary,Publication date,Full citation,Year,URL,PDF,Status,Health impact,Region,Health variable(s),Climate variable(s),Timescale,Impacts,Attribution method,Counterfactual method,Health impacts,$,Scale,Last Modified
Vicedo-Cabrera et al. (2023),,Heat mortality in Switzerland (summer 2022),7/4/2023,"Vicedo-Cabrera, A. M., De Schrijver, E., Schumacher, D. L., Ragettli, M. S., Fischer, E. M., & Seneviratne, S. I. (2023). The footprint of human-induced climate change on heat-related deaths in the summer of 2022 in Switzerland. Environmental Research Letters, 18(7), 074037.",2023,https://iopscience.iop.org/article/10.1088/1748-9326/ace0d0,Vicedo-Cabrera 2023 ERL.pdf (https://v5.airtableusercontent.com/v3/u/38/38/1739916000000/F7q54aBDjGOsQ60s8JBX3A/7hdHHgqmRfPKfCT7_tqkuj6u5_ln_rA8JtpcW7iOIgU0akNm1iAqsDusP316gpSiT1NP_Gj2GOoFPTWPsvOu8hO5cGR1BF13XjFkXxkhqqGLf5GBFwOme5BeunpO6w52VHlgJOhGFceorNvJjWgU6WlLv7V7Z5NIPejpwJ_1CEc/wnorc8MxXKlhLGGgMx6stA0_uEWTrjgC1gajygI__oo),Peer-reviewed,Heat-related deaths,Europe,Mortality,Temperature,Event,"- 370 heat-related deaths [95% eCI: 133–644]
- 60% of heat-related deaths ",Full,Detrended,Observed,,National,2/16/2025 8:37pm
Carlson et al. (2023),,Childhood malaria in sub-Saharan Africa (1901-2014),7/25/2023,"Carlson, C. J., Carleton, T. A., Odoulami, R. C., & Trisos, C. H. (2023). The historical fingerprint and future impact of climate change on childhood malaria in Africa. medRxiv preprint.",2023,https://www.medrxiv.org/content/10.1101/2023.07.16.23292713v3,PREPRINT - Carlson et al 2023.pdf (https://v5.airtableusercontent.com/v3/u/38/38/1739916000000/AmJgmPWNR6Eb_0JXgfRiFg/ipRDxYKfTuOl3LJHlqRP7w6YjMLgC1Nwac7pfudk1JlLUQkYIyTDNEVh_gMYuXsMoWf8-wxN7BdBX_rKXzm02qpBf3d8lJ7e9DQp5ms_3ZIWlFK2pIycgctKoSAvhWW-88b8vdeOaAki85iq-WKVpOSKpC0LM4lNxAdRsYzpQKtf4vJ7AzDSzVUIJMrXghku/kR_OsKjisT08eDbU5EVnGuokwPz0_Uq7jDf8S-r5nwI),Preprint (not peer-reviewed),"Maternal and child health,Infectious diseases","Africa,Eastern Mediterranean",Prevalence,"Temperature,Precipitation,Floods,Droughts",Trend,"'- A net increase in the prevalence of childhood malaria (two-to-one odds)
- ~90 excess cases of malaria per 100,000 children (95% CI: -300, 510; 66% chance of positive trend)
- ~630 excess cases of malaria per 100,000 children (95% CI: -40, 1,400; 97% chance of a positive trend) in southern Africa
- ~330 excess cases of malaria per 100,000 children (95% CI: -140, 870; 91% chance of a positive trend) in east Africa
- ~180 excess cases of malaria per 100,000 cases (95% CI: -190, 610; 83% chance of a positive trend) in central Africa
- ~380 fewer cases of malaria per 100,000 children (95% CI: -930, 20; 97% chance of a negative trend) in west Africa",Full,Simulated,Observed,,Regional,2/16/2025 8:45pm
Park et al. (2023),,Mortality from wildfire-related PM2.5 air pollution (1960-2019),9/13/2023,"Park, C. Y., Takahashi, K., Fujimori, S., Jansakoo, T., Burton, C., Huang, H., ... & Hasegawa, T. (2024). Attributing human mortality from fire PM2. 5 to climate change. Nature Climate Change, 1-8.",2024,https://www.nature.com/articles/s41558-024-02149-1,Park 2024.pdf (https://v5.airtableusercontent.com/v3/u/38/38/1739916000000/D8ijkK-PYE9toJyJIBTJKA/KB4-u-IIQKjjnFz96gICA8sD4l7gV5JjiAde05AocJ76bVW3W8xpDuCIgyarg90mz1tEtSjsWqEoDyus7AGtAbMJqpxyBN19JVaP09vD6fjz459TVsbJWgjc2jRZXvHgwYquX1b4Rj1NwGBcSCthXkq-fDj69uVPCgyujLNhKc4/Ryrdz13YjosFEN6J61aQWFql2R5y8YnKYJyOKOv6YGI),Peer-reviewed,Air pollution-related deaths,"Americas,Europe,Africa,Eastern Mediterranean,South-East Asia,Western Pacific",Mortality,"Wildfires,Air pollution",Trend,"'- 669 deaths per year (range: -398, 1,773) in the 1960s
- 12,566 deaths per year (range: 3,481, 30,126) in the 2010s ",Full,Detrended (ISIMIP),Observed,,Global,2/16/2025 8:37pm
Newman & Noy (2023),,Global mortality from extreme weather (2000-2019),9/29/2023,"Newman, R., & Noy, I. (2023). The global costs of extreme weather that are attributable to climate change. Nature Communications, 14(1), 6103.",2023,https://www.nature.com/articles/s41467-023-41888-1,Newman & Noy 2023 Nature Communications.pdf (https://v5.airtableusercontent.com/v3/u/38/38/1739916000000/-u0cPHkN_9dNZPNRnV9ZQQ/MzIsgFTbHURX3H9lJ24ORbyRvdU4cNTHtPnohIPkr-UAHkitdUiTDRamFI52-z8d_6SNXPAZgN0E8vCXGjhLTRdv6iHdqRw17zufS6EJuPwCByKDNOKdpYJMm1cyb5VzINnpTPSzlu6SPi55dHkO8Yyw2NzrQvNxbB_lRPMv9JNGXdlxlV4_A1EmIRiDT-jw/xSs8Yd1FZ7l97bPAbAV1qEY-LMaMFpPWoLv97Psy24A),Peer-reviewed,"Heat-related deaths,Extreme weather-related deaths","Americas,Europe,Africa,Eastern Mediterranean,South-East Asia,Western Pacific",Mortality,"Storms,Wildfires,Temperature,Precipitation,Floods,Droughts","Trend,Event","'- 60,951 net deaths due to extreme weather events
- 75,139 deaths more likely due to climate change
- 14,187 deaths averted by climate change
- 63% of total economic losses from extreme weather are due to loss of life
- US$1.79 trillion (US$90 billion per year) in economic loss equivalent to loss of life ",FAR,External,Observed,checked,Global,2/16/2025 8:48pm
Childs et al. (2024),,Dengue incidence in Asia and the Americas (1995-2014),1/9/2024,"Childs, M. L., Lyberger, K., Harris, M., Burke, M., & Mordecai, E. A. (2024). Climate warming is expanding dengue burden in the Americas and Asia. medRxiv preprint.",2024,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10802639/,PREPRINT - Childs et al 2024.pdf (https://v5.airtableusercontent.com/v3/u/38/38/1739916000000/oTWnQ_YMErOtjf8qHUK6Mg/8FJfXsDSBg7l0dd8PiPdYsbYwW8i825UqIzvi274CUUdXsmVF6haohzdOLjb6nYkDUAmnDcVqqkjOUmKW3tjP9TpBCvVIxCTI2yRK9l813fw4BRIfKDj5o5rCdkpFMdQLepG1243HGL78YdF3k1Hl21KfG7STPzXNLrz4VsqlNtOznS8UUXANhNkGaqwilE6/Gc3pVaCeeP7SZ8EiLY0C-bZgONT-lxOrmwC0affFM58),Preprint (not peer-reviewed),Infectious diseases,"South-East Asia,Western Pacific,Americas",Incidence,"Temperature,Precipitation",Trend,- 18% of dengue burden is due to climate change; up to 40% in cooler countries,Full,Simulated,Observed,,Regional,2/16/2025 8:37pm
Erazo et al. (2024),,Expansion of ecological suitability for West Nile virus in Europe (1901-2019),2/8/2024,"Erazo, D., Grant, L., Ghisbain, G., Marini, G., Colón-González, F. J., Wint, W., ... & Dellicour, S. (2024). Contribution of climate change to the spatial expansion of West Nile virus in Europe. Nature communications, 15(1), 1196.",2024,https://www.nature.com/articles/s41467-024-45290-3,Erazo et al 2024 Nature Communications.pdf (https://v5.airtableusercontent.com/v3/u/38/38/1739916000000/61Fh0DF9HYvtwCWrDtaKzQ/PaXXdH5WWBUoUHwISIU84qjrQeb6fU4edazP7AXg1nn7x1dRjOmRg4bS-djZv8J_1NhVfMmg9JIOKJPNreJiDAZ6KR1KcOYxPUp9VeKrHU0Xxn2kl9VPSCbokVQSsvZAiZi3Hiw3nzXjhTGHSG2q7ja4r1mVN49R9fZr0K3kT2vYHYEYkMy7gHWKYj2OTjYh/iF45EMHPj7cBgYvG6UtjJSLBLnnB4yApNB26uJddly8),Peer-reviewed,Infectious diseases,Europe,Population affected / at risk,"Temperature,Precipitation",Trend,#NAME?,Full,Detrended (ISIMIP),Observed,,Regional,2/16/2025 8:38pm
Hajat et al. (2024),,Cold-related deaths in London (1976-2019),3/13/2024,"Hajat, S., Gampe, D., & Petrou, G. (2024). Contribution of Cold Versus Climate Change to Mortality in London, UK, 1976–2019. American Journal of Public Health, 114(4), 398-402.",2024,https://ajph.aphapublications.org/doi/full/10.2105/AJPH.2023.307552,Hajat et al 2024 AJPH.pdf (https://v5.airtableusercontent.com/v3/u/38/38/1739916000000/0rtZyhHP5Vei6KyEkjQQOg/hw2d4c8LDsau0EcuXTr87sjNKlOr2RK00Jv7mFcz6mq7QfdM0oAT_7m-e5pRzrFWL1TEkJOKzhcztisXUaAwhazfMQg27yeD6WeMFd4vUmD7H8Os0BgYGyc4F2CzRGm14K1EnGKh8YueQ84vNDYrb031wnlr4s68VxYF2EwAcos/S6WNpIcmfWDq5I5qVHd97cIqgr06DVmpVv5YaIKV7Jk),Peer-reviewed,"Cold-related deaths,Non-communicable diseases",Europe,Mortality,Temperature,Trend,"- 447 fewer cold-related deaths per year
- 241 fewer cold-/cardiovascular-related deaths per year
- 73 fewer cold-/respiratory-related deaths per year
- 639 fewer cold-related deaths in winter 2018-19",Full,Simulated,Observed,,Subnational,2/16/2025 8:38pm
Zhou et al. (2024),,Injury-related hospitalizations in China (2000-2019),5/16/2024,"Zhou, L., Liu, C., He, C., Lei, J., Zhu, Y., Gao, Y., ... & Chen, R. (2024). Quantification of the heat-related risk and burden of hospitalizations for cause-specific injuries and contribution of human-induced climate change: a time-stratified case-crossover study in China. Environmental Health Perspectives, 132(5), 057005.",2024,https://ehp.niehs.nih.gov/doi/full/10.1289/EHP14057,Zhou et al 2024 Environmental Health Perspectives.pdf (https://v5.airtableusercontent.com/v3/u/38/38/1739916000000/FmQM2buveg3TYgfpgRVGUg/pF7CeiuG4buj5SeSPmpnTXrQag7tOqe6JEUWmXJrKFCSZFb7W9kuBLcPvkO5d1_T-cw3IKMvHE0NLcvqmf6LxeU-_MvsKfCsj24SLlY2txEC7ahlSqsrarYhHOB8mauyFvjmuVgeS5UWUGBDHrAQrsL1_jZREUhSf504c2xTUy_W7gNN2iu5gwqi93vT8rqqonvyTcy1eajiqsJuLGAorA/xubqqoiwAl0qaflSdj2wUm1Vdt8HgffsmXc5jGxxHbk),Peer-reviewed,"Heat-related morbidity,Injury",Western Pacific,Incidence,Temperature,Trend,"'- 6.7% to 10.6% of heat-related injuries in the 2010s in China (head and neck: 6.7%; injuries to upper limbs: 7.5%; injuries to trunk: 8.1%; injuries to lower limbs: 8.8%; injuries to multiple or unspecified body regions: 8.9%; accidental injuries and other causes: 9.6%; poisoning: 9.8%)
- 7.9% to 9.7% of heat-related injuries in the 2010s in northern China
- 7.6% to 8.5% of heat-related injuries in the 2010s in southern China",Full,Simulated,Observed,,National,2/16/2025 8:38pm
Dimitrova et al. (2024),,Neonatal deaths in 29 low- and middle-income countries (2001-2019),6/29/2024,"Dimitrova, A., Dimitrova, A., Mengel, M., Gasparrini, A., Lotze-Campen, H., & Gabrysch, S. (2024). Temperature-related neonatal deaths attributable to climate change in 29 low-and middle-income countries. Nature Communications, 15(1), 5504.",2024,https://www.nature.com/articles/s41467-024-49890-x,Dimitrova et al. 2024 Nature Communications.pdf (https://v5.airtableusercontent.com/v3/u/38/38/1739916000000/uu9ThYESI-475aehBuQy8A/PPFMIFWRmEqk7f1DSRNxYWTkcxnbXrE61A518o2idh9rS-0Kog69Umw5xnDnKTYe7EdJzfi3-_Pa5a8geIeZxaO8Z2mNQ_NKMeTOGisri4cwVb84eWWVGORhz4fPfcF63OzzifZN3bYCxA0wAjKPK1EnvmuhQiLkT9XG7pSRWdlifsmxXvnLM0W8iQg0fnElY9puYAvtivl725vCWows-Q/w3E91B28eXOJ-nqoFTqz9RDxVAludlt41dj1DSxVNWo),Peer-reviewed,"Heat-related deaths,Maternal and child health","South-East Asia,Western Pacific,Africa,Eastern Mediterranean,Europe",Mortality,Temperature,Trend,"'- 175,133 (95% UI: 7,806–353,516) neonatal deaths
- 32% (range: 19-79%) of all heat-related neonatal deaths
- 46% increase in heat-related neonatal deaths
- 457,384 (95% UI: 170,106–868,519) fewer cold-related neonatal deaths 
- 30% (range: 10-63%) reduction in cold-related neonatal deaths
- 168,835 (95% UI: 48,835–296,467) very early heat-related neonatal deaths 
- 29% (range: 8-72%) of heat-related very early neonatal deaths
- 141,322 (95% UI: 2377–339,337) fewer cold-related very early neonatal deaths 
- 35% (country range: 10-69%) reduction in cold-related very early neonatal deaths",Full,Simulated,Observed,,Regional,2/16/2025 8:38pm
Beck et al. (2024),,Heat mortality in Europe (summer 2022),12/27/2024,"Beck, T., Gudmundsson, L., Schumacher, D., Seneviratne, S., Achebak, H., & Ballester, J. (2024). Increasing likelihood of heat-related mortality events with global warming: a continental epidemiological extreme event attribution study. ResearchSquare preprint.",2024,https://www.researchsquare.com/article/rs-5549732/v1,Beck 2024.pdf (https://v5.airtableusercontent.com/v3/u/38/38/1739916000000/Zr0V_MWwXbThKZNks92z8w/im4ccIZIZB3JM6_hAJfIGF0y_pNp1vINWE3CJCYNQvuZ-MdCugIDRBMjmF_UrjxnEm-nB7cZvkS6YnpXvk1FAj2v4mIC741AQQ-YbsXJBezvaYNRGSyfD9k9zAEiJq4H9eH_wHvvIDXdWIQo8tnepfAcXSyeS8iZP5xQVLeSon0/pa-MsPLqFh4ISoVf8ElOQVudQi00YjKjuBm4qGzHPw8),Preprint (not peer-reviewed),Heat-related deaths,Europe,Mortality,Temperature,Event,"'- 2022-like extreme heat mortality events have an average return period of eight years (95% CI: 3.6 – 20.8)
- 2022-like extreme heat mortality events are three times (95% CI: 1.02% – 18.6%) more likely 
- 2022-like extreme heat mortality events are 30 times (95% CI: 3.8% – 2,354.2%) more likely in southern Europe
- 2003-like extreme heat mortality events have a return period of 100 years (95% CI: 30.5 – 758.5), compared to a return period of 1,000 years (95% CI: 65.2 – 16,892,749) under pre-industrial temperatures
- 99% of the European population has experienced an increase in the probability of 2022-like temperatures
- The ten regions with the greatest increase in an extreme heat mortality event like the deadliest week in 2022 are all in Spain and Italy
- Heat-related mortality in 80+ year olds is 100 times that of < 65 year olds and 10 times that of 65 – 79 year olds
- Heat-related mortality was slightly higher in women",Full,Detrended,Observed,,Regional,2/16/2025 8:38pm
Perkins-Kirkpatrick et al. (2025),,Heat mortality in a Victoria heat wave (2009),1/27/2025,"Perkins-Kirkpatrick, S. E., Selvey, L., Aglas-Leitner, P., Lansbury, N., Hundessa, S., Stone, D., ... & Osborne, N. J. (2025). Attributing heatwave-related mortality to climate change: a case study of the 2009 Victorian heatwave in Australia. Environmental Research: Climate, 4(1), 015004.",2025,https://iopscience.iop.org/article/10.1088/2752-5295/ada8cd/meta,Perkins-Kirkpatrick et al. 2025.pdf (https://v5.airtableusercontent.com/v3/u/38/38/1739916000000/Z5CrRiFchVrcdrT_WzMsIQ/5FIpVjFSRLRlSsUcW6sMYvNkWECgh85czoQTx923IuM-XBJJu67YTw_W0_z96rh-aZnpY7grdJjNv4cdFjZGDkfF2OZi0uSDZIWdrP_HPcZ17d4xbtE_N1jF1jNWX7_kjGLe-S_5-vK4pMs_3x2P3bAM6myEjwLJ3fjL_tomsYrFqlS6mHbxvr7a1G0BKGcU/PPuhJ1gQvcm4vtZ5Ex5glyQ5H0his6738qFs3pegJ6I),Peer-reviewed,Heat-related deaths,Western Pacific,Mortality,Temperature,Event,"'- 6 +- 3-4 deaths (a 20% increase) attributable to human-caused climate change
- the frequency of a 2009-like event has doubled
- 6 of 8 climate models predicted a statistically significant effect on mortality",Full,"Simulated,Detrended",Observed,,Subnational,2/16/2025 8:38pm
